"year","industry_branch","avg_wage","food_category","avg_price","unit"
2006,Zdravotní a sociální péče,19042,Pomeranče,24.73379999999999,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Máslo,104.38779999999998,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,"Kulturní, zábavní a rekreační činnosti",16827,Papriky,35.310199999999995,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Kuřata kuchaná celá,47.47420000000001,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Jogurt bílý netučný,5.829,g
2006,"Kulturní, zábavní a rekreační činnosti",16827,Šunkový salám,116.77419999999996,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Jablka konzumní,30.714799999999986,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Těstoviny vaječné,26.095600000000005,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Rajská jablka červená kulatá,57.829800000000006,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Banány žluté,27.30520000000001,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Vejce slepičí čerstvá,23.494,ks
2006,"Kulturní, zábavní a rekreační činnosti",16827,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Cukr krystalový,21.726199999999995,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Eidamská cihla,110.94640000000003,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Chléb konzumní kmínový,16.1234,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Mrkev,14.409799999999997,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Mléko polotučné pasterované,14.437999999999999,l
2006,"Kulturní, zábavní a rekreační činnosti",16827,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,"Kulturní, zábavní a rekreační činnosti",16827,Kapr živý,69.35000000000001,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Konzumní brambory,12.075399999999997,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Pšeničná mouka hladká,7.407199999999998,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Vepřová pečeně s kostí,105.17739999999998,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Pečivo pšeničné bílé,38.596799999999995,kg
2006,"Kulturní, zábavní a rekreační činnosti",16827,Pomeranče,24.73379999999999,kg
2006,Stavebnictví,17850,Máslo,104.38779999999998,kg
2006,Stavebnictví,17850,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Stavebnictví,17850,Papriky,35.310199999999995,kg
2006,Stavebnictví,17850,Kuřata kuchaná celá,47.47420000000001,kg
2006,Stavebnictví,17850,Jogurt bílý netučný,5.829,g
2006,Stavebnictví,17850,Šunkový salám,116.77419999999996,kg
2006,Stavebnictví,17850,Jablka konzumní,30.714799999999986,kg
2006,Stavebnictví,17850,Těstoviny vaječné,26.095600000000005,kg
2006,Stavebnictví,17850,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Stavebnictví,17850,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Stavebnictví,17850,Banány žluté,27.30520000000001,kg
2006,Stavebnictví,17850,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Stavebnictví,17850,Vejce slepičí čerstvá,23.494,ks
2006,Stavebnictví,17850,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Stavebnictví,17850,Cukr krystalový,21.726199999999995,kg
2006,Stavebnictví,17850,Eidamská cihla,110.94640000000003,kg
2006,Stavebnictví,17850,Chléb konzumní kmínový,16.1234,kg
2006,Stavebnictví,17850,Mrkev,14.409799999999997,kg
2006,Stavebnictví,17850,Mléko polotučné pasterované,14.437999999999999,l
2006,Stavebnictví,17850,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Stavebnictví,17850,Kapr živý,69.35000000000001,kg
2006,Stavebnictví,17850,Konzumní brambory,12.075399999999997,kg
2006,Stavebnictví,17850,Pšeničná mouka hladká,7.407199999999998,kg
2006,Stavebnictví,17850,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Stavebnictví,17850,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Stavebnictví,17850,Pomeranče,24.73379999999999,kg
2006,Ostatní činnosti,16484,Máslo,104.38779999999998,kg
2006,Ostatní činnosti,16484,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Ostatní činnosti,16484,Papriky,35.310199999999995,kg
2006,Ostatní činnosti,16484,Kuřata kuchaná celá,47.47420000000001,kg
2006,Ostatní činnosti,16484,Jogurt bílý netučný,5.829,g
2006,Ostatní činnosti,16484,Šunkový salám,116.77419999999996,kg
2006,Ostatní činnosti,16484,Jablka konzumní,30.714799999999986,kg
2006,Ostatní činnosti,16484,Těstoviny vaječné,26.095600000000005,kg
2006,Ostatní činnosti,16484,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Ostatní činnosti,16484,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Ostatní činnosti,16484,Banány žluté,27.30520000000001,kg
2006,Ostatní činnosti,16484,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Ostatní činnosti,16484,Vejce slepičí čerstvá,23.494,ks
2006,Ostatní činnosti,16484,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Ostatní činnosti,16484,Cukr krystalový,21.726199999999995,kg
2006,Ostatní činnosti,16484,Eidamská cihla,110.94640000000003,kg
2006,Ostatní činnosti,16484,Chléb konzumní kmínový,16.1234,kg
2006,Ostatní činnosti,16484,Mrkev,14.409799999999997,kg
2006,Ostatní činnosti,16484,Mléko polotučné pasterované,14.437999999999999,l
2006,Ostatní činnosti,16484,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Ostatní činnosti,16484,Kapr živý,69.35000000000001,kg
2006,Ostatní činnosti,16484,Konzumní brambory,12.075399999999997,kg
2006,Ostatní činnosti,16484,Pšeničná mouka hladká,7.407199999999998,kg
2006,Ostatní činnosti,16484,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Ostatní činnosti,16484,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Ostatní činnosti,16484,Pomeranče,24.73379999999999,kg
2006,,19536,Máslo,104.38779999999998,kg
2006,,19536,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,,19536,Papriky,35.310199999999995,kg
2006,,19536,Kuřata kuchaná celá,47.47420000000001,kg
2006,,19536,Jogurt bílý netučný,5.829,g
2006,,19536,Šunkový salám,116.77419999999996,kg
2006,,19536,Jablka konzumní,30.714799999999986,kg
2006,,19536,Těstoviny vaječné,26.095600000000005,kg
2006,,19536,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,,19536,Rajská jablka červená kulatá,57.829800000000006,kg
2006,,19536,Banány žluté,27.30520000000001,kg
2006,,19536,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,,19536,Vejce slepičí čerstvá,23.494,ks
2006,,19536,Hovězí maso zadní bez kosti,166.33839999999998,kg
